Date,Collectivité concernée,Nom du fournisseur,SIRET,Activité principale,Objet de la dépense,Justificatif,Montant,Catégorie,Remarques
19/8/2022,"""Aix-en-Provence
""",Marie-caroline ORY,52347311400016,Soins de beauté,Soin esthétique,image.png (https://v5.airtableusercontent.com/v3/u/28/28/1714154400000/2c-aXsIkBAJRENvV0hEgQg/Nxroq6Yh0A5G2yh1HsGrPC0aX_tC37Nox2C7WED8jz_t1mN2NCIC3E2yUKUUGAsF--BBAUGnF_UeU9oqOtwSfQkG9naDaEtOSe7Z7nAr9Lw_PjeXKmMbJIpP0PMEo7abueIHhVT7oPlC26Rde1rizw/W7wZqAG_ffZT9Q-zGXpvYj8YI1nWL1xjn9MdLpXAS00),"€72,00",Beauté et soins,
10/8/2022,"""Aix-en-Provence
""",SCHOOL RAG,41751738000073,Commerce de détail d’habillement en magasin spécialisé,Vêtements,image.png (https://v5.airtableusercontent.com/v3/u/28/28/1714154400000/TBg0ytY87Qi1nfcAl8APbw/L1NxatCo_u_npOpDJSxwNZfr7Okq0qbN_TS1bfdlYU0ULHozWsg1wHLWCD21Cy7l7yYqQMiNnzg0wcLYf5P1OPG55pmBZD5ffDZww2v-f9cZQ6yf5xeuchRREzLCeWdO-HY3Me6oZBGeO3z8VLA84Q/f7V1Y2NKWCKNla1vzcgUyBEwvpAny9klM0oB5nMIWao),"€58,00",Vêtements,
9/6/2022,"""Aix-en-Provence
""",Elisabeth PERRIN (LE CORRE) (PRESSING DES PRECHEURS),30363040400026,Blanchisserie-teinturerie de détail,Nettoyage,image.png (https://v5.airtableusercontent.com/v3/u/28/28/1714154400000/vQrFSpE9ErTSrCb731aWJA/TSa3_GSwPO9_S2Cgq7UjOzva7wgmAQHgqGZm6s0x9fIORDXY67B88esyZ8ulZEPw5xXF4cVnxYo__wUfWZVDll5_N21mZQGxbbBHFZvdO10L0RIye94R3h6CZmNqUiEcSuYK_lt-Z-inJzljv-ck8Q/IFIxEu7DGIyGmqm7GTKNDIrjLoPfUt4-EU2ZchfFTmg),"€25,00",Blanchisserie,
27/5/2022,"""Aix-en-Provence
""",APRIL (PARFUMERIE ATHENAIS),95042524900550,Commerce de détail de parfumerie et de produits de beauté en magasin spécialisé,"1 fard à paupières, 1 bi-sérum anti-soif",image.png (https://v5.airtableusercontent.com/v3/u/28/28/1714154400000/I8TsPqxXL6vUOzY7g5VFng/CF6zXq2MwOrrrXJsS9ZjgKOVfw2Q5QM7MdszCzZQr_KQsTDUAR7h4hDFBV50CasKcikOz9qXhFzAOATb2LlKxZzCPtUoggTg_IUPUyY6UddKTtmG7yiK6VVWh2N_jou8CRuyBOcUNoN_sSTgbJKG8A/gR0VRj7QAr8n0h8RdmCf_2tLpTCEet0j_UxvS0XA_6s),"€68,54",Beauté et soins,
14/5/2022,"""Aix-en-Provence
""",SARL DIGI,35051653000028,Commerce de détail d’habillement en magasin spécialisé,Vêtements,image.png (https://v5.airtableusercontent.com/v3/u/28/28/1714154400000/eZQI5V7nSGd4A738F0cNrA/15JguORDHXP3VLxMmVoEQ_lWNdd_d9BoJM92L9ZGzyHkYkcCxPbQbuuj5UcWw-WgU7DNzao7F_gWAhcljwgpOsIx-pZ40jrGzCjrNsAY6ZHyQpuC7iNmBueHpD80rkCwzBEwCLGlGffrW8fyeAntIg/ioTiC9PRLMMDUEcde8PfVk9dVttypWGlddV_cT6hgd4),"€1480,00",Vêtements,
7/5/2022,"""Aix-en-Provence
""",Elisabeth PERRIN (LE CORRE) (PRESSING DES PRECHEURS),30363040400026,Blanchisserie-teinturerie de détail,Nettoyage,image.png (https://v5.airtableusercontent.com/v3/u/28/28/1714154400000/_ZlrfBmlwCw5_0_C0ixxlg/pgk7TqL7zszn3-LrFKpyQ2u3OktT24FQ2DyGiD3y5Si3MLDMXnI_xlI1vLS5RNHY2jsPxUeGtC-o6TczgZizCWuJ2wUE9P0-ovkb84Xr6IWvb8qrAUT7ucjjccXF8L9J94vFAwgwH_dD529np-R9fg/1fwnbX1Swc7DxhpstlTO11A0B_kHpyNKIqMNn-V3-Ro),"€70,00",Blanchisserie,
28/4/2022,"""Aix-en-Provence
""",KF ARCHEVECHE,39930361900023,Restauration traditionnelle ,4 couverts,image.png (https://v5.airtableusercontent.com/v3/u/28/28/1714154400000/tjUbgJlPrAHcX0ffh8cR7A/6vmGeMbK654OqYGI6NkvloXCChN4o4C1LS_GptlfaKK4QOARHEKHpYgRwOELKZsyY0ulOYx8ioW7lDg8KN2Di8wvutdBMU2JFaCTGXvjtMtrmjsJSoyrfsam-1KdVpX6h_pq5OMr9b_DSYQAkNDUXQ/MnDs-Fj7DG10sckdtH1mHGMXOzDdPE5-68G2krWdnMw),"€119,20",Restauration,
27/4/2022,"""Aix-en-Provence
""",WE RESTO,79350926600011,Restauration traditionnelle ,Plats et desserts,image.png (https://v5.airtableusercontent.com/v3/u/28/28/1714154400000/czRzli8HqcZsBMt2nqH_WA/svsT_poUgnaJkQgHEXaSFRDzcNt3UwHbuiJWo-7o9THwRpmpzSWQw9WoX9DsUoemeyk7wJM8odiWROP64EDVOEATYwnIwIFuRFqR39MsohVmej1T9LgngshzAjOIH7QAsIWAQ7wsAZkZ8TNuttDTQw/dL2TX--uz48uufTUdIX-2Ex3dXGIt3F8p-1xsBWn-wQ),"€180,00",Restauration,
23/4/2022,"""Aix-en-Provence
""",FONTAINE ROTONDE MIRABEAU (LA ROTONDE),43033271800021,Restauration traditionnelle ,6 couverts,image.png (https://v5.airtableusercontent.com/v3/u/28/28/1714154400000/VfOYzbZa0iMwmrO1jeefdw/yFVnxI4RMMvtDVYrOAnjmRfSII2yg6smn5ofP-K-GTES_edv0MbW8AjsrRgH9DXxDcECGnTfC0v7FIgWO1PIxE7gVrAxi3_mcVkoKREqkOWGz_i9J_FDtXaYDYn_rS8VomjoTyHeCvj_qDBRrBU4pw/NLcl5tI6XMuT6YZNOCIzj5hJW5kX6SVAXcWwDUe8Y_I),"€338,60",Restauration,
19/4/2022,"""Aix-en-Provence
""",Dominique MESSALI (CHAUSSURES CLAIRVAL),44039301500019,Commerce de détail de la chaussure,Chaussures,image.png (https://v5.airtableusercontent.com/v3/u/28/28/1714154400000/KZSglklIf3AUAtr6Zu0WbQ/C4ay_opwyLqdnUJLJZ1F-6OF6RygsQJ8uk3_DHvoNR-FeijVElhHTspSZwr3oWPGa7JVEAr4KOTwfS3vyLsclD4ft13iz7GL_iAFJfAnBzxdLUKLFmBK_4I3fa54SuIrFacDgExJGvnT5qKGZqRaLw/aVx8_SVhHHNv9lE8_noFplpRdQ-QhDJNsXj2D_fL0rQ),"€199,50",Vêtements,
19/3/2022,"""Aix-en-Provence
""",VALOUCILS,83132818200033,Soins de beauté,Formule glamour naturelle - comblage à 2 semaines,image.png (https://v5.airtableusercontent.com/v3/u/28/28/1714154400000/wpgvUf6uJqqQI4-k6DJ5pg/tSmR7GrSBD280GKYWaSQZg41wiriythMvurHB2p7bjliCFQZHDscfqrEgPtXNslk-yGV69UPK3iBHvJ0525Pn8kwYvuAKKKbO1wFWmtqShDw_bj-87gpbRO-rrw0xlhhsjpIr1og1D0clwloqh5Jgw/KCz0zI0iyY6CC4cBleiRJc7140LSHcjMdMd4n1GFrf0),"€70,00",Beauté et soins,
19/3/2022,"""Aix-en-Provence
""",PARF'AIX,49512946200018,Commerce de détail de parfumerie et de produits de beauté en magasin spécialisé,Commerce de détail de parfumerie et de produits de beauté en magasin spécialisé,image.png (https://v5.airtableusercontent.com/v3/u/28/28/1714154400000/ukVHPw8_JQsmCJr0cLY0Eg/fD9m3Ari-P_MsiIQ2pTwsN0Bj5qO43otoiNW3AsnPeEo9QNRrI8XdojuSnQXgZGbaAg-R_BszMSOug8PiPbcv33bVucWGc5vjDt9JIxtwxP4t9RXX9Ag2lJMxZzP-uwKDpQy37JvHBUGM9ue6fE6yQ/udZO54DgwlMvqXPSm5XSN7vn_lBvqDIXw6l3yOMVxH0),"€180,61",Beauté et soins,
5/3/2022,"""Aix-en-Provence
""",VALOUCILS,83132818200033,Soins de beauté,Formule glamour naturelle - comblage à 3 semaines,image.png (https://v5.airtableusercontent.com/v3/u/28/28/1714154400000/4898KIOReRi8EO-UuGmG6Q/p_vJufBQGW7kKobicm-q3jDZw36OJQREDOKIBFS--KG0lT_kNxBqrQyw_K6zrVBbuwUFoKYnnXVinSH5vkT5sQQShAP74GB21xFIZkeH0eowT0oDQ5IFRHiSsnPi6IMb3vXyrh8x_-6REbXHyl5iTw/gPkXAI1KpmUmaM1oZZbelP64EamVCx1c_RIZFyKE3dU),"€70,00",Beauté et soins,
21/2/2022,"""Aix-en-Provence
""",KF ARCHEVECHE,39930361900023,Restauration traditionnelle ,7 menus,image.png (https://v5.airtableusercontent.com/v3/u/28/28/1714154400000/nRwbNana1aT9zxwX5lysSg/FR61sU04kQt4sWmkZBRhOx49ZIuVopm1xQqaKUmsyKgb_YjoOm6STwhTdzeNHm7CCi-Y-JJ4tRYdYWyWu4wCqCvV98dxzq6btXclhoeiQfF306asiXyo_DUPP7P3-0nkT9zeC-zEjzmvvfeZxbRgJg/-4_WOUHPPR88hhHpk4PyZ7TssEb6Z98flHb-Sh7JbjI),"€267,93",Restauration,
14/2/2022,"""Aix-en-Provence
""",VALOUCILS,83132818200033,Soins de beauté,Formule glamour naturelle - comblage à 2 semaines,image.png (https://v5.airtableusercontent.com/v3/u/28/28/1714154400000/KQjbB5RH2huWNRdzdL7R5A/lczsgTC2-C27lQN3bm7A6yU1HQjTvtp9pNio6cDoUUBV7vkgg3xbc_B0A1I9zX4Zr_pAM5g7Nk_2sXe3mh3itHuDq3LICOd9aOEIn3qQnLLER0-zn_CaLAjckcxlsZNyyEuvU7fsyhobtkmTaRWUJg/vsH1tZn73wRhGjTs3zSUfw4MaM7YSmCFiqw9-T03KJs),"€70,00",Beauté et soins,
14/2/2022,"""Aix-en-Provence
""",OLIREM,80992880700027,Soins de beauté,Maquillage,image.png (https://v5.airtableusercontent.com/v3/u/28/28/1714154400000/hBaYd5LamX0F6xiDZbwpkQ/jQjP3XoTzxKUqLQaOEo_D_wNpWk-FJHSk_K09RQm1aGxaYJfHqlKPF0VSxk51qTqJam3kJL1lrjJ-r_Gq7MCFlovC9sKqkVqK4P1GVK66dwEowRcM-BTZSzG1o98GrTM03-QAvytAAr_jcbiPHZ3lQ/DQ4_1EjF9-m3zUgvLffk2EK2FbKGVL9v6Ro2FF73rog),"€180,00",Beauté et soins,
5/2/2022,"""Aix-en-Provence
""",QAIX,81230717100015,Soins de beauté,,image.png (https://v5.airtableusercontent.com/v3/u/28/28/1714154400000/uGmbXXmSHJgx27kPn2QRsQ/FPF3f6OXbQ3_VG0rZmS6noFfAanYz-IpzwvarkCWxfE1HRppK4Esyr6dRU3ogzhbma8Tq_sukxVG8KiXsI479vO3FDgIw6j85S08oAXl15ICMYKNq3sh5p_INfWYlJrb8UR6H4v24Y6G2wDpffUK4w/l0kl7t5tMqGdWVaUJZDpush5P7lG7dZVtqOOr1MUUKg),"€238,00",Beauté et soins,
5/2/2022,"""Aix-en-Provence
""",VALOUCILS,83132818200033,Soins de beauté,Formule glamour naturelle - comblage à 2 semaines,image.png (https://v5.airtableusercontent.com/v3/u/28/28/1714154400000/dhs1wry4jtzbg0T4Y91d0Q/dbKZ0Ct1xYkOub9jwSQNyH9xcyHeEv4yzZniTX0QQP6ad-OVgUCRSTAxMvzjtbQZlh17lOIc8EkovgYrfIJmPaVFuN1UjMWveFyJ7LOotHcYp7-30-8xXcPkeeit9KssqRiYPtnBQN_BCXgef4fhDg/nIBu67fEBQirBZO9gUSh29ysJZvMsBgIHrBK42Kb5mE),"€70,00",Beauté et soins,
28/1/2022,"""Aix-en-Provence
""",KF ARCHEVECHE,39930361900023,Restauration traditionnelle ,8 menus,image.png (https://v5.airtableusercontent.com/v3/u/28/28/1714154400000/oHv4uoTD8muchs-6puJU6Q/zvGSKGDez8L1UqIpjHs7xwtO7TEFqoJ4mOL28pQ2PUWIftqzM_08CJcEfaD8loaohOD5p0Aiv9YHsEOdP8OuX3hueMV-PasvFZcV8b_RIZPvdRJTaltVz3kE0JYIvuIpKEGvT2oJ-KmCROMkzgvmUA/7WdUMog9tBErU7y7vSU4XR25wD5gAgw1kALWncnRJEg),"€253,20",Restauration,
15/1/2022,"""Aix-en-Provence
""",SCHOOL RAG,41751738000073,Commerce de détail d’habillement en magasin spécialisé,Vêtements,image.png (https://v5.airtableusercontent.com/v3/u/28/28/1714154400000/cPGOkg6rh_tNWrgABRf_MQ/83fhSNMkQ6tDEbe8zCx8xWQcPPDetyYdHiBvZw0D9scOPa9p9mUPAzH44ptQYBWwWP-7JmyxckjkMJXsybi8JrilmRrgDVFXBQsLHYwSb_V32Yk5Iu43Ai7HzrgUJt5tm4gTE9hrpKAdMtAblvPU8g/RAMTpcTtmBmRRabLALkPC2Cuo_76IXMfzuueI3Rimx4),"€245,10",Vêtements,
14/1/2022,"""Aix-en-Provence
""",VALOUCILS,83132818200033,Soins de beauté,Formule glamour naturelle - comblage à 2 semaines,image.png (https://v5.airtableusercontent.com/v3/u/28/28/1714154400000/N3S4QbW5PizRaq47JLefRw/y5DZYmWD_kubIhKIZD49GWCoQ8W5f2dg6i-Q9Z_Ph0qIHmH7p9KijzSPWjjnwbQ0I0Dzoc_z6OfCG4N4KYuvYDVwKzXQSzZ-Tob-GU5kYqM8YRHXK5hzazySnApmiQGEUMLn4ao2VR6E8c0cago4cA/Ep3agadrX-SVevtxCwKWhmj8tKmSdIRTc9GKOXBKw-A),"€70,00",Beauté et soins,
31/12/2021,"""Aix-en-Provence
""",VALOUCILS,83132818200033,Soins de beauté,Formule glamour naturelle - comblage à 2 semaines 1 et réparation,image.png (https://v5.airtableusercontent.com/v3/u/28/28/1714154400000/-_zY9Q-2ntsEdoUhFfZ0-g/3TWrzYIVQSViOijvyk4zI4cXSJbT64sz__RkpbbbjgvycEgBUg7AwZ-FWf5kcrBSa4P06UXfY-DepnSOg0hMd3Giz1s4xZh2Qf2mz1eSnxECsp9QT7UF-xy8NwiPzH3GKRbCfDwKocOH7-xWqt4rAw/oEr0VmJsSLXkTcnXKQVsmupAp_lZSK1jnVJgjyqEAPQ),"€75,00",Beauté et soins,
18/12/2021,"""Aix-en-Provence
""",VALOUCILS,83132818200033,Soins de beauté,Formule glamour naturelle - comblage à 2 semaines 1,image.png (https://v5.airtableusercontent.com/v3/u/28/28/1714154400000/riy3VWFQC7sEiIhskUVBJQ/5WXNEhefhdp8Ze_pJcTP0ZkRDtAiegZA0UAGS5zCKbhYmJV3qWWwdns1oQHuxZwpgqFCM7uLwCSlerxRPjgNk247Kf1DLgZIeXRODmVbb9ublbndoghusuWfT1SXN8Yf_S8TC0d5r1xx265es53xJw/p1H7Yu1fGayBNDqWLoXuHYKSRbL4RE5BmzIj8OD5-po),"€70,00",Beauté et soins,
11/12/2021,"""Aix-en-Provence
""",Marie-caroline ORY,52347311400016,Soins de beauté,Manucure,image.png (https://v5.airtableusercontent.com/v3/u/28/28/1714154400000/G5pF_9vMS9oYe2m47WYdag/oCDL2iUuSr_Bt0ClKRU3nyWL8DKYwQczGF2jtiToaxtMpmNhEwAeWK_Q2iJdUzgL8zZj3s1NDzGh9Mxms0l5OBrlBA0E7GKcY3oQ6NVxkcmuphGS747mkdRTDxiTQluSeqQX8wXAyUatat99XCTGIg/HQeHZAZgJBYjNLWZxCDJ59hRarRNFjAzGgvQfAVC7Cs),"€45,00",Beauté et soins,
4/12/2021,"""Aix-en-Provence
""",VALOUCILS,83132818200033,Soins de beauté,Formule glamour naturelle - comblage à 2 semaines 1,image.png (https://v5.airtableusercontent.com/v3/u/28/28/1714154400000/9TR2i5gvmSELYaPJj3jWvQ/Rnnjo8NQFgnjeVrGyPQcV-PpR19PmC5f6UhbWAX8uAQEXhw71fEikDMdEhjdAj-obk_lx1hiC7DJkZjF_gAYea95ZJIXtkc-YqEeJ7BzSDyJMWmNnlgrmCuR33fk6VhVSNq_RjN7kLnLGoiVZojqYQ/40sva8Qnob-qCH7gmNYC-gfRJwJ0HSwvVvvLAalBWXo),"€70,00",Beauté et soins,
27/11/2021,"""Aix-en-Provence
""",Elisabeth PERRIN (LE CORRE) (PRESSING DES PRECHEURS),30363040400026,Blanchisserie-teinturerie de détail,Nettoyage,image.png (https://v5.airtableusercontent.com/v3/u/28/28/1714154400000/BFTLUeeCpi_scnsFoDUW0g/DC5PhpGj7l12uCuIHCrJkLiIwZf8lUNBm8TZq3EVHD-Za9AbcSwum95yp5wImLMV-j9kb0P-uFcbLCiEyu81VUpUxyBgdrCxWLuQkUpR2rRJISdNg6AnvwpjQgvaabvnZsvnAt9Kd0nZI51w0Aqtlg/tjSDgM33ywqnsVFgwk6EUN356jTiHLB06nxSZPdWLWs),"€80,00",Blanchisserie,
27/11/2021,"""Aix-en-Provence
""",SARL DIGI,35051653000028,Commerce de détail d’habillement en magasin spécialisé,Vêtements,image.png (https://v5.airtableusercontent.com/v3/u/28/28/1714154400000/Zd4mMEN31ao-nmsHuZRs5g/VQHGTK6q_T4wE0TQFpNSbEFDC5SGYJldSPTdpVPmNcSiuJukyqkK-PEjB9V2G_hhTBjSYHkRAy35DyX2nrQoLHo34E4LGR5QB-QikantWsoxd4u85GIw-BTvo66x9ao2ExS-IYWx0sR_tcA-YF22dA/ctosQPTWc4e1Kwq03I0WwNGYB3mmhDRx5fWJYTCSYfs),"€950,00",Vêtements,
27/11/2021,"""Aix-en-Provence
""",SARL DIGI,35051653000028,Commerce de détail d’habillement en magasin spécialisé,Vêtements,image.png (https://v5.airtableusercontent.com/v3/u/28/28/1714154400000/z2CipgY7WyL_PdT8r8c-BA/JU9-NPPjjklZwa3o5z82YlH0CyQIq96dZi_4Kr7I10Coy7LAj4jjPGdwVmfNjFm_1KLGVLux9TF1OLsELP0UY9hvtLzTO7LX7CfeKY114v2cxiL5JP7XQsu4qe_AuE34U6LonRvyviMpWr11mxoP3A/v9EcvFDOJXYL-G_TyWLylgSVaMxU3CJXzILzBr7sKms),"€440,00",Vêtements,
22/11/2021,"""Aix-en-Provence
""",KF ARCHEVECHE,39930361900023,Restauration traditionnelle ,11 menus,image.png (https://v5.airtableusercontent.com/v3/u/28/28/1714154400000/8xBPh7lXbUCmvqqytxTzrg/RNIfr7ANU-QTq0jRrf264yinmugS6e4V6P0sBee-o4-TK4JxBlhdzNWiRUg52yeSAS8Qgs7uzGWLPKjyvHIN985pBhtHghMTs3uMyY03dKoTwAs8rdJXrBCOUURuF1NHWZoVw0kyYsCLgSXebjWxtw/CM08349wQh9HbqxzwUoS2xNDEcxOYCYyYiDt0qUDqz0),"€330,00",Restauration,
