Date,Collectivité concernée,Nom du fournisseur,SIRET,Activité principale,Objet de la dépense,Justificatif,Montant,Catégorie,Remarques
11/10/2021,Dax,Selectour Duverger Voyages,33260267100015,Activités des agences de voyage,2 chambres Hôtel Vichy Celestins + petits déjeuner,"Screenshot of madada.fr on 2023-11-06 at 21.17.21.png (https://v5.airtableusercontent.com/v3/u/28/28/1714154400000/suTxhRjkDnvzz1y_VA2yUQ/aVLjuUMMg2gCyDo58bniHbFDCHY6J-IYo9vOGAfAu3QniHryihWj23_7d5KJpZJNVdOeTI6Xgsn3z8AaSNENuI5gwgVHTq15hBLXIgU6QiyhEGbA_vyniayBD7R3q2MN-UrYmPUbMLFhgNe9cizGxulFDjVZ5V3BCf_mYjb2jVHnrFSavbf8JwPV4r00Qw7o/nxI0lWCmnUv9eYkyer_h8QyIjJ05g2SDZZfZmtJfZsc),Capture d’écran 2023-11-06 à 21.20.04.png (https://v5.airtableusercontent.com/v3/u/28/28/1714154400000/Ok2lUwuil5hN_lYF8xxtdQ/IQGf3YmSVBOBybVjceEUxXjP40cKSJxZCtnIymCP-TCCJcoBNVo4ZwhLI9GwymaLtPFs7rmUG-qR0klZdWli2t4w5TGcD_Fwqfek6y8AUuAGF9Hp1wsbgNEWRlv2Iv-e29a5sTBKJIo3yhe6ojXqLy-pmiXPyaKyA6pmuRAGrkI/W_FL2VsJbXtaSl6bNRblwR3fEZazy8qYbV6vL0l8v0k),Capture d’écran 2023-11-06 à 21.20.15.png (https://v5.airtableusercontent.com/v3/u/28/28/1714154400000/3kdvsXALEe4Il-2BUNUnpQ/DrzZZY6yvVuJjc77-mOgIBnTfYyUZ085vymaJqM4MDQrs_R1eLdzHQonkDz7KaLJ9sLGluKsIm05BvJcVWpEJejh1mhtjYJx3f9kJinESa6psZsFxAjrVrvV4ISUhvMVnVNr_TbimvyvTzhvY4x8i_UGQAbjy-v1zMpF_g_kjbc/zCAMRothxk8VO-1SehqoE3ftGWZPAJ06bbWY2mA6DfY)","€1309,00",Hôtel,
17/11/2021,Dax,Vacances Bleues,39112787500089,Hôtels et hébergement similaire,Chambre hotel + petit déjeuner,Screenshot of madada.fr on 2023-11-06 at 21.26.27.png (https://v5.airtableusercontent.com/v3/u/28/28/1714154400000/BftTrHtV5EZKjDXbAAlcqg/eYReY0W-OPVm5687b62Z46N6Bm12gUrxATrR3Zl2Djuni657iPBYKUNLjSQZGOenZXnNJVRtrwSwpcB8QX1YQwEaCmBxhFGc8hXfjjo5L_1iUToJMkJMRA3AhzDuqruWJuBMpiPyk7Pkeq3UKvzGj479CTm_RsOrwqSMaGp02Ivs_DEMjzpPWwXcvpIP0uzW/lPRrvtLC4K6sPDGBcBfNxKnzU2MewoxRcBga6yqDMWs),"€1738,00",Hôtel,
18/7/2022,Dax,Uber,53945494200043,Autres activités de soutien aux entreprises n.c.a,trajet aéroport à 77 rue de bercy 75012 Paris ,"Screenshot of madada.fr on 2023-11-06 at 21.33.30.png (https://v5.airtableusercontent.com/v3/u/28/28/1714154400000/6iPyF9ds7j5PnvBfSL6xTA/WpVf5300LqrJVjN6SRpocqbDAsBsM6M3-r9XU0WjKnYe7pGRL0K8BctL33m9qoibSsOPVCESLWJxGWWHwGTCKLOCUNq0tvQRK3PLDphCKolXyTH5FQXpDZF9eBPkJ2IzHfbiWQUp6_o4TTDT2RVyNWsHsBpxM0F85yqyuBlTexHoTSdJvkCaRL3GPHT5NHOn/Zxk6PSx_mhjFtVBKos0pMsMgVbJV7k7r6Qhqezdq2B8),Screenshot of madada.fr on 2023-11-06 at 21.33.44.png (https://v5.airtableusercontent.com/v3/u/28/28/1714154400000/QtKWf5URZOSCN5h0dwkrsg/Qz_ZvNU0hjmEL-SLeepmT7zUge1UpbNtATtuxKs_CUcqarSc1S8WePEfKmkONCt1CqMdc0I2ICzGDY5ULv5ehiX2UcyAzSI3-1MQ2bBtpZ9pPkkbsiq-y_SNmotJlSnqzmMttfV7QnITu7w_9CgyWPKiGwyV-JJNFiv_Cvilfyok-OFlRKhn7KqPg35Rl9bD/bwnm3aOoZW5zG-ZM_URXJz4C4HvT0ixTbXfGuvI8TfU)","€41,28",Transport,
19/7/2022,Dax,Uber,53945494200043,Autres activités de soutien aux entreprises n.c.a,trajet de 77 rue de Bercy 75012 Paris à aéroport Orly. ,"Screenshot of madada.fr on 2023-11-06 at 21.36.54.png (https://v5.airtableusercontent.com/v3/u/28/28/1714154400000/K_fctIrXcvoU1BRsZZtAmQ/HMFUcUsTRwIOUGPDVuvklSKMTD_sZ1BqBOG9EZGWGbsBYC5T9HVsObtyRhh2z2WwA4SNGoobfkCLe3z47agUKfaR0jR683wpK5Ks7nXbdYdc_Yx5FuEU1i0iw0LhXumRHjXOIN2Ar46ZYQ63Prk7P08U669hjaoujf1-vrQkULpeirfXvEUGpB4muDeuInTl/Mke0Hkkp5EmuMBAeMXHtQf4OJ2j-3UjtGeHGn2keQto),Screenshot of madada.fr on 2023-11-06 at 21.37.03.png (https://v5.airtableusercontent.com/v3/u/28/28/1714154400000/lFRakaebI5FLTdE-bdbsYA/npzkVkNnSAEixluWd9rGP8rf0mGfWXR7lhAC2XhpJLfGQykjWfvziuQF6A4RU3ByeVrArzgXYuenRVeEB69G1kRl2I2gkABcZamPNo1DhXcBwYEaLsqn3nVjNwI0JFTE1dyZ55ZNyZeJNv_x7HzbYMlVLnDGsAm0auTK6oW0mIc6rnTNgcrvB0LwwVOU54xq/b4259XlJvNGUIMQbsI2ZljNev6tZXYE32uE3lG-YLCA)","€27,06",Transport,
26/5/2022,Dax,Inconnu,,Restauration, invitation au assises du thermalisme de nouvelle-Aquitaine 4repas,"Screenshot of madada.fr on 2023-11-06 at 21.41.25.png (https://v5.airtableusercontent.com/v3/u/28/28/1714154400000/g-AQ1wgZ8HFshcp9a5l2aQ/1oEMMvxaMXc2TEa2alpHMZ19xcPaNPDnIvT1FxE6z3_BB32e2QGcWr9qJF7f2Egp3EVGulgFfUxtjAvQe8IKfa_9u8Tzht-N2Eem75NNgYAu2tm_f7sJCbSWj9KDFuxOKpTlM4H3vpnEYe3k-o4tSdJTuZB2YQk-FWRS6xSGDq-bCyDoSJKE651FmWWG32AS/L5CyByorqAH-G0q86Tqv_NlO1GCPsPz-3et0spWqwRU),Screenshot of madada.fr on 2023-11-06 at 21.41.36.png (https://v5.airtableusercontent.com/v3/u/28/28/1714154400000/hz1yMXqMK1LXxMQ4Z3aKPA/y7vSu1yF2o6rIsoCh5YZv9IdBa8usT-sHepIi31eVgdO2A_l5ZSnaOkM8uV4YzzeFRwfMS0LSFs3mzUfT3yV3MiI-pBIl5G67M3NtJ1kkninkL21ZVnnB7Oq9_vyVBhQl5eOtnH2olg0uhquC3LiXDgsHcpB76sn5ch8yNcKW9ejg1BqTdWjFRJtjsE2nsM-/yOKFKkcTzflez6J8p7E7-4eFT_Rn1UV9ObDWa0dYHNE),Screenshot of madada.fr on 2023-11-06 at 21.41.44.png (https://v5.airtableusercontent.com/v3/u/28/28/1714154400000/SY_ILMCfgXvnczTKdNUVFg/sqmDxNnwNzMjrse6iYrMT6Jvko1jTFy8moDqzbZhzSpu7zysMAUoSNY9-5zoV5lqaF0Cay9oNt1xYojWaejgtow-5v4nEuXiRtTWlERx4Ju1xsBNSRv1UTlNeU9cdU1yY5fMkBF2Sbbi_4LJiylDTisPZgvzMAppbfMEbFuPeubnde3_8UgPhHFZBuYuhhra/j6_VXpDArCcL-y3Dv4mpQy-Mu8bEfQS60Z1fZSb9BQM),Screenshot of madada.fr on 2023-11-06 at 21.41.51.png (https://v5.airtableusercontent.com/v3/u/28/28/1714154400000/2_H88lsyC-GElL-8cyMpbw/WglkdOTYMk2glXcARxYp0zwuNIqM4BGW7UlOIRo11CEBR81i66l5pdP6wgG84rjzUrSLCZX-VDlwFBpkmWOe2UbYMnqkq2fwsm9_c7f1d_s3eR8G8-oiOTQayOFO1pIYjKx5Tukf5dm0AB-B324ovhXQb8FR6pHLaUsYAuAY0aiy5ea3JKYmp1ofJj8LwdW4/MptE3x2rjkRZ8p_TDzRKVrepcYpZHJfh4AgHIXwXpqo),Screenshot of madada.fr on 2023-11-06 at 21.41.58.png (https://v5.airtableusercontent.com/v3/u/28/28/1714154400000/MXoP4OLHTzZekDS-rWMKFA/i6LlEi_As8EqSjWBlN66pGUXZGNplnzGpb5qBRaEFuaATipzHUxni7pNqpCuBb2lpGC0KvUbM4PBX4Trg-6bDJwtbEU9RagPNG37i57-yQ92b63Zs5Xo92gH7sJiMuj0O3Vj6zg43rt8RbNS4P8gwgYtaGtz_E8HTbUKaYD-Wj1FKl76TTLAtPRh8bePqz0-/Pw5K7weOKseXYuiMdp_wfUXB-IpHWt9h6adZGMkH35w)","€70,00",Restauration,
19/4/2022,Dax,Inconnu,,Transport,Péage,"Screenshot of madada.fr on 2023-11-06 at 21.46.06.png (https://v5.airtableusercontent.com/v3/u/28/28/1714154400000/pLnKQk34FwuWK0KnqeGBLw/2Gbmo5Lnm_vt2AzU-6o-0qoa5jkG0SUW4p7JqIxZV10b0AyvMGnIF-cZikAldr-4JTklly3GgDyZy8TdJSiIRNZG7I07-aOrwHfJoQBw-nBthSBNqe6JLAmsC2FCol2EclxDvqJCAgNxnZURwn3u23xmwQjfaGni40mifEjR6Dieq-Msz5CviuyfhbkQgt5R/JSJ5c_iIc1kDiklPbuj3lnBZvssHNv6mJK987gw05O8),Screenshot of madada.fr on 2023-11-06 at 21.46.18.png (https://v5.airtableusercontent.com/v3/u/28/28/1714154400000/tXB776hiYkC5IgNZB-FazQ/dHzllEW9RlaUFj3Z2XdM3Ou2XNWOubw84ImWm8Y3elm0cF3_pTbKPKN7GsSc_Uo3ZIEAPl0q0n6ZnBt_qi-_w67D2Z3BvNWKKKA68hy_Q4m4XJxqkXIYom4cejsn7CxlkzlFcbxtskVtnk-szAjgspyFKh6ZZxI6ziFoqO_Lxo-GNwaiOUBeTjNOJeWFJ8Qj/XCBcTqYhH8ZzTLmEaw-SV_gNb1yXabWYOy1Dx2MiHHM),Screenshot of madada.fr on 2023-11-06 at 21.46.26.png (https://v5.airtableusercontent.com/v3/u/28/28/1714154400000/tbM3UsTtRJC2KXiegUq4OA/NcD51KPNe-rwddJ3QOBcsZdgJKUTc8Mb2U20KZtln0UurQQFgAFOZG-0pgMWM0rt7ZPuNctRXPqQGsig7VO80RZajxqHIVunW9vSUUhYTZgdCz49RP6fJlAWWhIT-RNfZR0CfvMzZF3aTnnmRldNAzzl_XxLjpTo-pmi4SQtzcVVFbe-igwr94WHnKpmK5z5/MjtKnrGNDI7NepCCz4lQW5AEckVlpXx-t_3374iKWiU),Screenshot of madada.fr on 2023-11-06 at 21.47.19.png (https://v5.airtableusercontent.com/v3/u/28/28/1714154400000/Q1noIJD8sgR6ebXefTvpFQ/LC5poW1PLKLd1TP6SQz3qTU3teakOKIpF1zf0E4D3O0XtWFZOrSjWQzN0D9MUeSNyWhZpWjNA_TokoT_E-vShXNMLwOZYSjFwtVniXL1P2pJGKS9f9NcaJytue8hnEwKHzzJD4Qp5pHH31kE_IpTldkjRoSPbxai_lsP8YTWi6IFXMjJ-ziDZghgwOo-PvrI/P91X9ylBAH-VdXC8qth-NRwkl8K__JeN5WWAbGr69BA),Screenshot of madada.fr on 2023-11-06 at 21.47.32.png (https://v5.airtableusercontent.com/v3/u/28/28/1714154400000/4N2wCaXmO9Y0ZarE2OqAfQ/e_7Q1y0EFfbn8pl9hpic619NPBHAY5gAxH7THAqhlIbRHn5idvfbMY5O5ZPj26bHoeHoAB8YQ82HQraDw0cLIF92aR2fMMJ_tXL36JEigp9OawgYHP5BdWL53T0JtWfYyEqqwQAhNz6cfcDh_UlRtYEr6b0Klq8uBA7Hygcsh92PXRZiFwKyHm696gwOh5Kp/CiY1deEBo_viKQ4l8KHFy6aA62G4s-6NeeUVEndxZBE)","€10,30",Transport,
18/11/2021,Dax,Inconnu,,Restauration,3 repas ,"Screenshot of madada.fr on 2023-11-06 at 21.50.21.png (https://v5.airtableusercontent.com/v3/u/28/28/1714154400000/3vdP394lnO3PJuQzDJGb3w/pl6ENLF1tZm3B-BxQWx9f5hiOpDahfXFujjcuKiPzPe1RGB7z3fMb1j0ZgmmAGaXjWIpVmp7ERqQtcZGXmTfSjBIsvrQxL86H0xJ2WqYO6BL-M2hg1xGvg9WcejdDrex233dNxGsboFr_eFIIG9afxwCsStcgm8DnxbLf4R68qAuO-3dcDZjFypU_rrWE-7T/yPWDCprzrTooIl-Np4azcj6TBpkkqFvR-N5Gc68L30Q),Screenshot of madada.fr on 2023-11-06 at 21.50.36.png (https://v5.airtableusercontent.com/v3/u/28/28/1714154400000/EEqRBYGF6kWLbmXFA-DCGw/cqajuUuu_xTckRf1DcnXxEFbrG-ttcsb-fG5K0x0ngJJlNTk_TM9t7xNE4kklzFBq_SkRYBQusZuwXFK6EJYCd_kS1hnsdGkDsd7cituyMJ4pVAw6InmVlqGkLPuRj_kY6x2iikfq-E5u9cxhiEQC76eFADuGytv9nz40KPOPkLHEl4NZxMB9vbbPllJR62V/Ty9_q0NhfRx9AK0pSqm1xMHIbclAIVQVNVRvDIgyvJk)","€52,50",Restauration,
17/11/2021,Dax,Inconnu,,Transport,transport ,"Screenshot of madada.fr on 2023-11-06 at 21.52.00.png (https://v5.airtableusercontent.com/v3/u/28/28/1714154400000/gl-NOTmtdqVW7Z7Gzj1s0A/aHMSqwsbTdYQb4kGoX1wBJ0Je7fK6tto22GUKTd9aqAbUUMur-FfcOsE2Zm3MVxcS4l3eLDYnX6RX1x66iKBBCA29OT7-gHwfN37GlSALn0WxHbGYV8Qq5AmG2coCTHbQ-_0fHmwT_54mrdCqHWBDwhzTRt7jHfDL1JF4F2KMJMahlbah3hfP2ECROMIVl6Y/tvCIYsGO-B8UtRnK5ceczw4HG52JbpvVfw8Py1UhGWM),Screenshot of madada.fr on 2023-11-06 at 21.53.02.png (https://v5.airtableusercontent.com/v3/u/28/28/1714154400000/9U1Z5zWrAXeNaYmp8VhVIg/lV46SLehL3D5MPeM5K28fG7A5thFoiN23oXkm0TI2ZiBZiuAXl7Dcwn_hQhMXNwb6wqWLLlhdkq9LTQdWxWvkytpizGI-d4V_P-TLoDG-p5cvbFE4ZZoJhdyWTgJJ69kN4Ul_Fo3opL0bER5MvitKAyEmRP3HLUtRo4WLaU37PjXIXQhIhbon5HBDRSl2HkQ/8C9FGG0MRzdc6o8YMF89ai_jHnyEL96cudX-g5fRy3A),Screenshot of madada.fr on 2023-11-06 at 21.53.19.png (https://v5.airtableusercontent.com/v3/u/28/28/1714154400000/C4Ot4bag9uSPdmYfFWlfGQ/LGHNNv-ToFcZg4FQ_WQzDK7NDqavmt0aw5iuJvzmKLFtanjacH4LCUQmC6n0vYOhKNXqOLoZs63Qa6Q3hP2Icozota9dMVBxfCayruK1kQz8OvypNhbO-56gmacUjVVI_OBYa0b5nVYtHbbkubuiwnLFrGLFoWuCdHXHZZ4_hokW6LYbxwEAy161BgvTWsNs/PJwN7Z9U5CS_98PE4uFTRolaQGu5jyTmbRMQe_EBi5U)","€22,40",Transport,
2/11/2021,Dax,Inconnu,,Restauration,Rencontres européennes du thermalisme ,"Screenshot of madada.fr on 2023-11-09 at 11.50.40.png (https://v5.airtableusercontent.com/v3/u/28/28/1714154400000/EeXaHSg_bW5HM3z9ndL8yA/rJVK6P6Utd5bFQOqjGRmEA2tfD0j2Y1qiKwSHdqlX0ymJ2pe26BHA3T3_wMN_e4fxJHpg6Yis3V0QMz9KXmZtGmPPGv3MipIZkaW1VUwHrFIa5ys19dxJGfIze7EXAV2Jl1CEXCOIcQ7_WraOMLFjEhMqTec1ZH_sZ4yKGqYh7ay1naeYUu4DxajgFMS2mtJ/0nujWzZsfG2u_hCBnWe8EdGPz7tTgnBRuHlAQsMBzaA),Screenshot of madada.fr on 2023-11-09 at 11.50.46.png (https://v5.airtableusercontent.com/v3/u/28/28/1714154400000/zt_Vnn_TCFMfhyH-FhnTHw/82350bee_JrOUNEpAJ2Mxp6D092c_iGpb7K0rg3jxK_QRgtQP76cyz-0sgJ9u_FJ5nBQDeZ5SpD9sRl3-CMrSf7Sv2QEqc7XQMWep99ZCB3cqCA8adayjwUdqYcSnMDy_zFOQvDtye-1Uod-lX06GJtTrnW-9A33NfnrxRGr8zJBEGYHdjxE2wivG_A1Svx9/41-yHhE7sV9FXnJRep3G0zq49vo7UJK7Um1ZfmsWtqk),Screenshot of madada.fr on 2023-11-09 at 11.50.52.png (https://v5.airtableusercontent.com/v3/u/28/28/1714154400000/6faNdOoBCRMv2mXm0Nz3LQ/iZQz9Oeka9AJLzEIz2qswN2or8q-o7WNsbEgRLMybE6JQveHq66fx2kpsxKdkQZMbTB-cooJeLRtAF2koicENhRBNbDMRiMNYpJJLwM8nLuH_kQrtEXwqGsy4714rEM1KkIPmZ5IT-WjIClnRrEmgTEeig9IApol1LbgI6wNx5JIvEeaSOsL_g23703RXsEQ/0lWpIb4cpWBmVc9MDF8s2lUelkoABP0joNmPiHSxYqw),Screenshot of madada.fr on 2023-11-09 at 11.51.06.png (https://v5.airtableusercontent.com/v3/u/28/28/1714154400000/fF6E9WNe7xD6QtiL-ue1WQ/6SrGUZI5N58JcuNofM2TWaaZDgbQBbO5K6z8tuxfsvUdtXPECCEzD6DeGgtsSFztb_0nCdMOwGgxsbGrFhhL5jhhOUKl6fLK965EnVY7NuD3mqehdaSR3ht-G6kixOLC6TQMhiozlQz37fwIxk1EwGgwGVeBVG9P1MJScQi5FRhGEmHjPxYFGaisFr-_-ZO7/F5Nrsa3K0ZEZZezN130q2esvcMd1LcOUZtXuwwmSWMc)","€50,00",Restauration,
18/1/2023,Dax,Mercure Hotel,30254259200936,Hôtel,séjour du 18 janvier 2023 au 20 janvier 2023,Screenshot of madada.fr on 2023-11-09 at 11.54.24.png (https://v5.airtableusercontent.com/v3/u/28/28/1714154400000/xty95uSmGPbKDFCTJVU_wg/GtgrlA_sCOsnvTauSZ3Uh4y0vMMbpH5qN8auXUwdut-Z6wP51TzmT750tm1dgP-01aeIndJAOde-I4bR3G9zk2JBdY2oh0hGk67WHWieNks3csTkmzQseMOV4uNQkWKs0-9oAMC4Io080vdvSK8BBNpdqCDGpO1bOJ2VllEIYUuXpeQxgfOztGkvNloStHsK/IIRB0ITfmVZsKXlI5p-SVOgJ565_MDIiB0aLB1cXLaY),"€244,06",Hôtel,
19/1/2023,Dax,Uber,53945494200043,Autres activités de soutien aux entreprises n.c.a,Course ,"Screenshot of madada.fr on 2023-11-09 at 11.57.24.png (https://v5.airtableusercontent.com/v3/u/28/28/1714154400000/FXkPhSnv1j2k3ZUj9dw3BQ/ortonern4c0E4eb4-y9AS4F9cKYBsej9JxmNE47bBM7eKBD9EuEkgzCvvxQVNMnKKSAxhwxwQ2f1oFLPbCGpvQkgpd0IXYwRmudAHQnTzAWjoBiaFQRJyFP-YSD6CTnkjegZyPWjl4uIoRRWw6wxaDx4bst9r3SFXlSCE6oOC3fhzoabu5iEAGMM2YKnJe5V/QpgH_6nSygmpqtqh1tZLnxOAi9_Zrgj8cA_Tla8aft4),Screenshot of madada.fr on 2023-11-09 at 11.57.31.png (https://v5.airtableusercontent.com/v3/u/28/28/1714154400000/J9paPM2d9F5zcdNHUXmjxg/0AnXBRpTNQjKQMwBszv3E7ekJO-fLMvEj_GphYHZgiMWJK--924lHgAc_pL2afOp-4EEovGDd9ZRnW5em90Yv4pzgbnt5HicRVPQ_87P_YNDKT0eaZJku4dDMSBI4JOIOw3HgDKBXrtLq-pQgKfqrxvYLi2ZMn-1KV7M0iVCKI6fX-GBkonXHB1yQnAJf69U/7HZDGXU57hj69sOz1RsqHi5D2U1hy0iaGovTIfMsATY)","€10,62",Transport,
19/1/2021,Dax,Uber,53945494200043,Autres activités de soutien aux entreprises n.c.a,Course ,Screenshot of madada.fr on 2023-11-09 at 11.58.23.png (https://v5.airtableusercontent.com/v3/u/28/28/1714154400000/WknBG0sejpM6haQYP_jIuw/f1ginhXyfC8rkz73MjWGbvZDAwLuZezi2oVNBqMIpj0MQpmPPWVwbj30wIebTdyfKIuDU_cNIX8Ix2FANoWLg52OT0lVRDNSZSNoUPG4bVpcI4uVMLmZm8U_Q6pUlmq0XJMNdNkpDaGappGafE2CStn-97u9vyKroZJqSsoXbVF4xhTI0c59d98ZnYRRAVKk/ki-O4MAbUXNB7UDz5h6OJXYsXpSGi4Sd_wrWSX4uVIY),"€11,66",Transport,
20/1/2023,Dax,Uber,53945494200043,Autres activités de soutien aux entreprises n.c.a,Course ,"Screenshot of madada.fr on 2023-11-09 at 11.59.16.png (https://v5.airtableusercontent.com/v3/u/28/28/1714154400000/MWisu5XiiU3W8yd5t5Ntgg/0hJ1Xj5sqHdvZg4nZOXmpmfi9Zs_CkqncTWb3c2xueZJStfeX6Db2xl7YyrvR6MapUArC_kXjgh58m6g7rehuuCeyHw69gMkPn9TGYaazoitwZMr1KZXZZQJy705KUvYvIhlJnLzjXoppP46jyKEFLyD2YQkBgJC8PloXQp3G8VaMJpgf6wtuQqy_eYXqMs4/bYdKJ0hew4rZLQ3KUYl8v7BlBIB0ZiAugKtZ72LBLBE),Screenshot of madada.fr on 2023-11-09 at 11.59.23.png (https://v5.airtableusercontent.com/v3/u/28/28/1714154400000/XbP-IeZ67-QKRI1172268w/EDxtGBWoIMxu6z3FjJ64sgCgW9JYhx42ZJxbglQOXdBtK2eaJMpOLOX8C0ZXefgZZ8r6AuXE4rujrkPCIZMkeiCdM-OXA3yyGXhGLc_TRpN-3jnYPfVYjvPJ688_8D3qaAVAUk1mNYA8hYPgcjyQidLCJkD2UhCsue3GVR8unahha1mLQsWBw0RAl16Uj6bV/zILf6EzWz2B6bID-7uCqvQfCkJyg-eP7Qg25pCsixdQ)","€18,83",Transport,
20/1/2023,Dax,Uber,53945494200043,Autres activités de soutien aux entreprises n.c.a,Course ,Screenshot of madada.fr on 2023-11-09 at 12.00.01.png (https://v5.airtableusercontent.com/v3/u/28/28/1714154400000/kKEvdWCeMTDaEmO4x5aHsw/iXiPlEoOaXzWnnudg8ErffGXyo_O5wY9h4LRpBtEjSvdrkfG7KXNaxdHPzAg4eR7rWWo0DEHu4w5Wviv9lAXB0SditaNjbOAeSZsrbFNmenA-AP9L2lzi9Vnpkc7BdSpzGTkLsrhvdl5VMOcRkCX6B-A_5WLyIrntaey8QYKu6Jk7fT4eh-ptnxIy58jsPrl/IrxoSoBFSQyocGgNn_v5uQSHNOT8IvV2JWWRtep8sJA),"€17,29",Transport,
20/1/2023,Dax,Uber,53945494200043,Autres activités de soutien aux entreprises n.c.a,Course,Screenshot of madada.fr on 2023-11-09 at 12.00.41.png (https://v5.airtableusercontent.com/v3/u/28/28/1714154400000/tBQC6z_mjZQLGfQsIu-swg/SpF-zgyos1s2TELovZJ1eE1PGnlcrKrXI4sENZMsFCCxhuMXPVeJv7Y_P-GqmRt3gLBXJWnHR3mZFIYWiPsgDFJxEHKUjb2wARZbVEGqJlAp-IFnPfqrlyg5G8miysaSysV3dVJjfqmSdNBG_K56zQUKlxceWSEaPON-46SXn3fndZJzrnUgtnnRdhlsb3ib/aZLlAnlnGpeij0r3Odzd2eGYz018O0FsRfUrUJuaYwQ),"€24,29",Transport,
19/1/2023,Dax,Taxi Parisien,,Transport,Course ,Screenshot of madada.fr on 2023-11-09 at 12.01.31.png (https://v5.airtableusercontent.com/v3/u/28/28/1714154400000/t5NDcv92cS0b-9uZCVdNUQ/KmhT9mWXKuQtpXQeAb7aMPYsx2GoIY4yg7YyFF0RHI1RzZNWmekr_pbEyG0xCbuwrqCBYodObNzU3UaRYA_N5GUy5WpsH5c1Jml9I10BTLF80CU53J4H37v3LskzD3BuP-gZsKw4Lasu_VLXTxq7jUm8GfplajO7eHtKXt3s-Gjo0GhbURyyXE3hgQ33zF7s/wBEE0wJTVFoBxHIR_PHNZvjJCCKVxrsYNGAyphfm5nY),"€23,40",Transport,
19/1/2023,Dax,Taxis Parisiens,,Transport,course ,Screenshot of madada.fr on 2023-11-09 at 12.02.38.png (https://v5.airtableusercontent.com/v3/u/28/28/1714154400000/j5NqiAExxsjK2d-zrl5OKA/yGLBx_OAn_o3u-Lxz1o9W88nGQHTAEy144iNRMzA3w2OYS52jzMdHvpjZSFLlXXqsn1ZeUZJHfTFNVOY4I1HQ9XPscAAMSADAdyXlZeDiuxk9QE6un3bScBKznhJTLxqbtRbvhz1bL5eOSmbvZWIFn9YmxL4NDHn3XLe4f0wlFU7fmTnMCUS8CCHvtEz1fcD/baMr_EOxJ6v5BWiTh2jG0SFLWnsdKVkWpiCiH8TEjbE),"€10,80",Transport,
18/1/2023,Dax,Stationnement Copagau,,Parking,Stationnement,Screenshot of madada.fr on 2023-11-09 at 12.03.36.png (https://v5.airtableusercontent.com/v3/u/28/28/1714154400000/vrodUN5H_GiErlmEA6eTYw/cRcYvSnjt4Yu9XcIdGCLNqgMFfFCdMwXlsNFjhVOknMXLKZPCGWPZ_rDQ-WzZUviIgM2v3qLvekFpb3XIY9_YnWIw5_ZtZYPNED2xgqsPRopL4FQNMvByyLfO6vyEXLZhNut4ZixrvmVkZLjRgtQRU96xtpjwNO5W0QY4DwyBrwn9md0zz8ktTJ7BFavcw9-/Cu91U9nAeiAzA6p5N-lL8vYjbiUC2FOqFE4gjiLsGX8),"€34,00",Transport,
